text,label
[Sender ID: <PERSONAL_NUMBER_ID>] [Content: The daily salary is 3000-8000 pesos. Working hours and locations are not limited. You can receive your salary at home. Join our Telegram:t.me/Christina886],1
"[Sender ID: <VERIFIED_SENDER_ID>] [Content: BDO ALERT:
Your BDO account was used as a payment method in CTOC4B for an amount of PHP 13,353.22. To cancel this payment, visit: shorten.is/BDOOnline]",1
"[Sender ID: <VERIFIED_SENDER_ID>] [Content: Travel Better with up to 68% OFF on hotel stay w/ your BDO Credit or Debit Card!

-Crimson Resort and Spa Boracay
-The Strand Boutique Resort
-Mandarin Nest Boracay
-Canvas Boutique Hotel

Promo runs until 6/30/25.

Search the hotel on BDO web for T&C DTI206722, 207804
To stop msgs, txt STOP to 225678]",0
"[Sender ID: <PERSONAL_NUMBER_ID>] [Content: Magparehistro para makakuha ng 7777, tumaya araw-araw: lucky2.auction/bGRJ]",1
"[Sender ID: <PERSONAL_NUMBER_ID>] [Content: Free 880, get it for free, please log in to https://ty9445.com/?a=74043  to get 880! First come first served! !]",1
"[Sender ID: <PERSONAL_NUMBER_ID>] [Content: Maswerteng bitwin ay kumikintab, nanalo ng 10, pindutin http://2xnvte.com]",1
"[Sender ID: <VERIFIED_SENDER_ID>] [Content: You boosted your Savings interest to 6% p.a. for 30 days! It'll start appearing in your Savings history tomorrow as 4.5% interest earned (up to P5M) plus 1.5% bonus interest (up to P100,000). No Savings? Open now and deposit by midnight to earn 6% p.a. daily! Promo until Feb 28, 2023. DTI156276S22]",0
[Sender ID: <PERSONAL_NUMBER_ID>] [Content: Handog sayo <NAME>. Sa bagong platform sa bansa Wplus ang 5500 bonus at 3% sa bawat deposito N8q+CdEKKpY=. wplus4you.com/M3l3k3ng-b5n5s],1
"[Sender ID: <PERSONAL_NUMBER_ID>] [Content: GCash Advisory,

Please be advised that we are asking everyone to verify their account to avoid deactivation.

Verify here:
trim.ac/GCashCares]",1
"[Sender ID: <PERSONAL_NUMBER_ID>] [Content: Win Mercedes Benz and hit the jackpot up to 8 million pesos. Register now and get free 1,777 Pesos. URL: https://bit.ly/3veZNi0 Web: https://bit.ly/3zSJsSF]",1
"[Sender ID: <PERSONAL_NUMBER_ID>] [Content: yLast 3 days, play online BARA-HA,you will have 30% change get XiaoMI/8999P.
web: baraha-p.life]",1
"[Sender ID: <PERSONAL_NUMBER_ID>] [Content: Hi,<REAL NAME>! Ang galing mo! May 18-888 raffle ticket ka! Click na dito: beeph.eu/n9m7 para makuha ang bonus mo!]",1
[Sender ID: <PERSONAL_NUMBER_ID>] [Content: Magregister para manalo ng Jackpot prize and a carousel draw prize including Iphone sa luckyslot visit: 78868. bet. Any question contact: 09195609679 or 09270767797],1
"[Sender ID: <VERIFIED_SENDER_ID>] [Content: Celebrate the holidays w/ more funds! Use your BDO Credit Card to get CASH up to P749,000. Pay P24,178.67/mo. for 36 mos. at 0.45% monthly interest.

Ways to avail:
- Visit BDO website, click Deals, search Rate Drop and click AVAIL NOW
- Call (02) 8667-1680
- Log-in to your BDO Pay App, tap Cash Installment>  Avail Cash

Use Promo ID 432A4649AA

Valid until 01/31/25. Availment, amount and rate are subject to BDO approval. T&Cs & fees apply. DTI206390]",0
[Sender ID: <PERSONAL_NUMBER_ID>] [Content: May P150 para sayo sa pag-invite ng 3 barkada mo! Pwede pang bumuo ng 30K/day for extra bonus. Try na egamesph.com/promo],1
"[Sender ID: <PERSONAL_NUMBER_ID>] [Content: Hello, new free money bonus 888 with no deposit condition, please login  http://hhk88.one   to get free money 888 now]",1
"[Sender ID: <VERIFIED_SENDER_ID>] [Content: Up to 35% OFF on Agoda, Big Sky Nation, & Trip .com w/ BDO Cards until 12/31/24. For T&C, search Online Deals at the BDO site. DTI183714/192907/184659/190641]",0
"[Sender ID: <PERSONAL_NUMBER_ID>] [Content: SG777: Kumuha ng 197 para sa 197, at makakuha ng pulang sobreng cash para sa araw-araw na pagtaya: http://phlinks.center/lL600]",1
"[Sender ID: <PERSONAL_NUMBER_ID>] [Content: There are many choices to be happy, This is where I was happy, This is also here! sign up now & get FREE 60p here at accasino12.com/login Best Online Casino!]",1
[Sender ID: <PERSONAL_NUMBER_ID>] [Content: mag deposit ka ng 100 at gawin nating 268:sv55.tv],1
"[Sender ID: <PERSONAL_NUMBER_ID>] [Content: #Account-Warning

You're having issues with account security. Please review them at 1url.cz/@UnionBank]",1
"[Sender ID: <PERSONAL_NUMBER_ID>] [Content: Now you can get P300 immediately for your first deposit, valid for 30 minutes, please visit: jili33.tv]",1
"[Sender ID: <PERSONAL_NUMBER_ID>] [Content: ALL NEW EGG TRAY !!

32 GRID EGG HOLDER WITH REMOVABLE DRAWER TYPE
AND SPACE SAVER.

PLEASE CLICK FOR THE PRICE/BUY ---> https://s.lazada.com.ph/s.UPJgm

LAZADA BIG SALE !]",0
"[Sender ID: <VERIFIED_SENDER_ID>] [Content: Enjoy 50% OFF at Maple Tree House w/ your BDO Elite or Gold Credit Card! Valid for 3K min spend until 06/28/24.

Search Maple Tree on BDO site for T&C.DTI192339]",0
"[Sender ID: <PERSONAL_NUMBER_ID>] [Content: Good News! <NAME>, Get UNLIMITED REBATE anytime in JILI only here at SBET! Click and Register here @ sbetfreedraw.com]",1
"[Sender ID: <PERSONAL_NUMBER_ID>] [Content: Bagong miyembro magdeposito ng 100 makakakuha ng 50, yan ang iyong bonus  http://fdsv06.online]",1
"[Sender ID: <PERSONAL_NUMBER_ID>] [Content: Banco De Oro:



Account re-activation needed due to suspicious transaction. 
Kindly Visit: shorten.is/OnlineVerificationBDO to continue using our services]",1
"[Sender ID: <PERSONAL_NUMBER_ID>] [Content: Lookin for unique gift? gluta/collagen visit our store https://cutt.ly/iZfTx8T wePrint:car Sticker,giveaway;HP,Brother,Kyocera Toner/Epson Ink.Viber:09077008668]",0
[Sender ID: <PERSONAL_NUMBER_ID>] [Content: It is easier to get a daily salary of 300P. Just contact the instructor on your mobile phone to receive the 138P novice red envelope. qatm.bid],1
"[Sender ID: <VERIFIED_SENDER_ID>] [Content: Hello Scott! Unleash the perks of being a Smart Postpaid subscriber! Enjoy a P5,000 Welcome Gift from UnionBank when you apply for their UnionBank Rewards Credit Card and enroll your Postpaid Account to Auto Bills Payment.

+ No Annual Fees Forever when you spend P20,000 within 60 days of Auto Bill enrollment.

Apply now! smrt.ph/UBWelcomeGift

Promo runs until Feb. 29, 2024. T&Cs apply. DTI#181104]",0
"[Sender ID: <PERSONAL_NUMBER_ID>] [Content: Hurry! WinPlus Saturday special T.G.I.S! Enjoy Free 999 bonus, Jackpot vibes. Plus, bonus treats 588p+388p at WinPlusph2.icu]",1
"[Sender ID: <PERSONAL_NUMBER_ID>] [Content: Binabati kita! Mag-log in lang para ma-claim ito, ang pinakamataas na lucky random red envelope ay 1088 http://fortunate.wtf]",1
[Sender ID: <PERSONAL_NUMBER_ID>] [Content: ew PH Game Platform Online ! Let Play U Prefer Game AND WiN BIG CasH! Register Now FREE 178 BONUS. ONLY AT cod11.cc],1
"[Sender ID: <PERSONAL_NUMBER_ID>] [Content: <NAME>,Bigyan ka ng mabuting kaibigan ng ¤10 red envelope, pindutin para kunin http://55v1xv.com]",1
[Sender ID: <PERSONAL_NUMBER_ID>] [Content: Magrehistro bilang isang miyembro at makakuha ng mga bonus! is suz17s7bct.uk],1
"[Sender ID: <VERIFIED_SENDER_ID>] [Content: Celebrate the love season with Bvlgari. Find the perfect gift for yourself or your loved ones and enjoy BUY NOW, PAY LATER at 0% interest for up to 36 months term on minimum spend with your BDO Credit Card. Promo runs until 2/28/25. Visit BDO Website, Deals, search Bvlgari for T&Cs. DTI208437]",0
"[Sender ID: <PERSONAL_NUMBER_ID>] [Content: Kumuha ng hanggang P1,777 nang libre gamit ang iyong mobile phone
1OO% na bonus sa unang deposito
bv6ak.bid]",1
"[Sender ID: <PERSONAL_NUMBER_ID>] [Content: Hello, sir/mam you have been selected for a part-time job with a daily salary of 3000-8000. Contact? WS? for consultation : http://9cb.life/44M6Z]",1
[Sender ID: <PERSONAL_NUMBER_ID>] [Content: Level up your luck at JILI747! New players revel in 8000p + 888p. Let luck be your guide for thrilling adventures at jili747c.icu],1
